ID,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
230.0,1615.0,9.0,16.0,,,,2.0,1.0,,7.5,CHILE,,NORTHERN CHILE,-18.5,-70.35,89.0,4.0,,2.0,1.5,,,,,,,,,,,,,,,,,,,,,2.0,,,,
243.0,1629.0,8.0,1.0,,,,3.0,1.0,,,INDONESIA,,BANDA SEA,-4.6,129.9,83.0,16.0,,4.0,3.0,,,,,,,,,2.0,,2.0,,,,,,,,,,2.0,,2.0,,
3549.0,1634.0,3.0,,,,,0.0,1.0,,5.5,CHINA,,HUBEI PROVINCE,30.7,115.1,84.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
269.0,1650.0,9.0,29.0,,,,4.0,7.0,,6.3,GREECE,,THERA ISLAND (SANTORINI),36.404,25.396,50.0,30.0,,5.6,6.0,,,,,,,,,1.0,,,,,120.0,3.0,,,,,,,,,,
285.0,1659.0,11.0,11.0,,,,2.0,6.0,,,INDONESIA,,BANDA SEA,-6.92,129.125,83.0,1.5,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
291.0,1662.0,10.0,30.0,14.0,,,4.0,1.0,,7.6,JAPAN,,HIUGANADA,31.7,132.0,85.0,1.0,,2.0,2.5,,200.0,3.0,,,,,,4.0,2500.0,4.0,,,200.0,3.0,,,,,,2.0,2500.0,4.0,,
307.0,1670.0,12.0,17.0,,,,4.0,1.0,,6.4,JAPAN,,"BOSO, JAPAN",35.5,141.0,85.0,2.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
315.0,1674.0,2.0,17.0,11.0,30.0,,4.0,1.0,40.0,6.8,INDONESIA,,BANDA SEA,-3.75,127.75,83.0,100.0,,2.0,1.5,,2244.0,4.0,6.0,1.0,,,,3.0,,3.0,,,2330.0,4.0,,,41.0,1.0,,3.0,,3.0,,
321.0,1677.0,4.0,13.0,,,,4.0,1.0,,8.1,JAPAN,,SANRIKU,40.0,144.0,85.0,6.0,,2.6,2.0,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,1.0,,1.0,,
322.0,1677.0,11.0,4.0,,,,4.0,1.0,,7.4,JAPAN,,OFF SE. BOSO PENINSULA,35.0,141.5,85.0,8.0,,3.0,3.0,,500.0,3.0,,,,,,3.0,1001.0,4.0,,,500.0,3.0,,,,,,3.0,1001.0,4.0,,
346.0,1692.0,6.0,7.0,,,,4.0,3.0,,7.7,JAMAICA,,PORT ROYAL,17.8,-76.7,74.0,1.8,,,,,2000.0,4.0,,,,,,3.0,,3.0,,,3000.0,4.0,,,,,,,,,,
2690.0,1700.0,4.0,16.0,,,,2.0,1.0,,7.0,JAPAN,,"TSUSHIMA, NAGASAKI PREFECTURE",34.2,129.3,85.0,6.0,,,,,1000.0,3.0,,,,,,3.0,,3.0,,,1000.0,3.0,,,,,,3.0,,3.0,,
367.0,1703.0,12.0,30.0,17.0,,,4.0,1.0,,8.2,JAPAN,,OFF SW BOSO PENINSULA,34.7,139.8,85.0,11.7,,4.0,3.0,,5233.0,4.0,,,,,,4.0,20162.0,4.0,,,5233.0,4.0,,,,,,4.0,20162.0,4.0,,
370.0,1704.0,1.0,,,,,2.0,0.0,,,JAPAN,,SURUGA,34.8,138.6,85.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
368.0,1704.0,,,,,,2.0,0.0,,,JAPAN,,"TAIJI, KII",33.6,136.0,85.0,2.0,,1.0,1.0,,,,,,,,,1.0,30.0,1.0,,,,,,,,,,1.0,30.0,1.0,,
373.0,1705.0,11.0,26.0,,,,1.0,1.0,,,CHILE,,NORTHERN CHILE,-18.6,-70.2,89.0,8.0,,3.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,
